pincode,DVI
100000,0.0
110001,0.7821740313585359
110002,0.8792989394026789
110003,0.7940505709634821
110004,0.19999999999999998
110005,0.9026909209446036
110006,0.9083394250284086
110007,0.8789296457160269
110008,0.9284002050330296
110009,0.9030027860882357
110010,0.8578614798886285
110011,0.7083333333333333
110012,0.9042218080773787
110013,0.8183356313393162
110014,0.8730785311496486
110015,0.9156141063693634
110016,0.7575256836035459
110017,0.9219168564768998
110018,0.8822192083202285
110019,0.9050107149751178
110020,0.8853703429789026
110021,0.8071472953402317
110022,0.8734726828871447
110023,0.8309267920984085
110024,0.8819193664210602
110025,0.7884641995106288
110026,0.8536577591669589
110027,0.9104818656628803
110028,0.8927675991970472
110029,0.7282341243672962
110030,0.8411469916434309
110031,0.9246350507074991
110032,0.8776360486352988
110033,0.9149621323984469
110034,0.9166825762756257
110035,0.9036340942473468
110036,0.8986136005762728
110037,0.8476199202703835
110038,0.792616265657018
110039,0.8315576998429353
110040,0.8459099000188588
110041,0.9088362239246331
110042,0.9229503255398893
110043,0.8300711893481656
110044,0.9070227306124603
110045,0.9164719402894091
110046,0.9149155123708167
110047,0.8368005644120783
110048,0.8785698517424342
110049,0.8588275212902079
110051,0.9299125831507571
110052,0.9147647915066999
110053,0.8459844439604793
110054,0.8526511520958091
110055,0.8960328557365077
110056,0.6823015873015873
110057,0.7947368011340601
110058,0.9025316653321797
110059,0.8763434620974537
110060,0.7548424188737256
110061,0.7825579867598055
110062,0.9059768180535325
110063,0.8755957663950531
110064,0.8666585547138314
110065,0.8554859472623525
110066,0.7448606433126557
110067,0.8745152711789504
110068,0.8853871694571874
110070,0.8344884299144167
110071,0.8884949416500778
110072,0.7740617163542065
110073,0.8529934090105062
110074,0.887964040053932
110075,0.9095904793789771
110076,0.8869256521156227
110077,0.8860107562097588
110078,0.8711460305386467
110080,0.8417596842123545
110081,0.9062426599673342
110082,0.9027074541675808
110083,0.9085128829650893
110084,0.8879879030253587
110085,0.9203897429527187
110086,0.9191150801630182
110087,0.8951518386854206
110088,0.9088056476041614
110089,0.9085714041499755
110090,0.0
110091,0.9160477920502418
110092,0.9325280687341305
110093,0.8814522674108707
110094,0.789951787421373
110095,0.856001038421065
110096,0.9226965533824812
121001,0.8291866030712011
121002,0.8962906866967663
121003,0.9059893045862205
121004,0.85451660236355
121005,0.8811930186654028
121006,0.8664237314897686
121007,0.8398885942167306
121008,0.8348564823720103
121009,0.8808575116123144
121010,0.8172930805386946
121012,0.611111111111111
121013,0.8416509383374999
121014,0.41666666666666663
121101,0.8796446892274341
121102,0.8364141131003439
121103,0.8833574895235689
121105,0.8819957871898687
121106,0.8185768154533726
121107,0.8853185086328098
121705,0.8748860867368133
122001,0.8042499447116553
122002,0.7398760350391144
122003,0.8665451580182977
122004,0.8107903024584681
122005,0.5
122006,0.7634025659426729
122008,0.25
122009,0.7847668997668997
